[2025-03-02 22:44:51] Application started.
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CDD8A0
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250EF20
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CDDD00
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250F200
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250F200
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250F4E0
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250F7C0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CDC0E0
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250FAA0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CDBBE0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:47:33] Pointer111 address: 0x0000000059CDBAA0
[2025-03-02 23:47:33] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:47:33] Pointer111 address: 0x000000002250FD80
[2025-03-02 23:47:33] Pointer1 address: 0x000000007B27F5E0
[2025-03-02 23:47:33] Pointer111 address: 0x000000007B27F5E0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000004D9AAF0
[2025-03-02 23:47:33] Pointer111 address: 0x0000000004D9AAF0
[2025-03-02 23:47:33] Pointer1 address: 0x0000000022510060
[2025-03-02 23:47:33] Pointer111 address: 0x0000000022510060
[2025-03-02 23:47:33] Pointer1 address: 0x0000000022510340
[2025-03-02 23:47:33] Pointer111 address: 0x0000000022510340
